dataset,algorithm,k,m,alpha,sim_top_100,sim_top_1000,sim_top_10000,sim_all
bin_1000_001,EdgeSketch,4,10,0.3,1.0,0.409,0.0409,0.802
bin_1000_005,EdgeSketch,2,10,0.3,1.0,1.0,0.1346,0.5494
bin_1000_005,EdgeSketch,3,10,0.3,1.0,0.862,0.1411,0.5759
bin_1000_005,EdgeSketch,4,10,0.3,1.0,0.867,0.1408,0.5747
bin_1000_01,EdgeSketch,2,10,0.3,1.0,1.0,0.1893,0.3775
bin_1000_01,EdgeSketch,3,10,0.3,1.0,0.817,0.1854,0.3698
bin_1000_01,EdgeSketch,4,10,0.3,1.0,0.812,0.1608,0.3207
bin_2500_0005,EdgeSketch,2,10,0.3,1.0,1.0,0.1267,0.8441
bin_2500_0005,EdgeSketch,3,10,0.3,1.0,1.0,0.1192,0.7941
bin_2500_0005,EdgeSketch,4,10,0.3,1.0,0.98,0.1156,0.7702
bin_2500_001,EdgeSketch,2,10,0.3,1.0,1.0,0.22,0.7101
bin_2500_001,EdgeSketch,3,10,0.3,1.0,0.996,0.2134,0.6888
bin_2500_001,EdgeSketch,4,10,0.3,1.0,0.898,0.2113,0.6821
bin_2500_005,EdgeSketch,2,10,0.3,1.0,1.0,0.4945,0.316
bin_2500_005,EdgeSketch,3,10,0.3,1.0,0.986,0.429,0.2842
bin_2500_005,EdgeSketch,4,10,0.3,1.0,0.986,0.3794,0.2773
bin_2500_01,EdgeSketch,2,10,0.3,1.0,1.0,0.5625,0.1859
bin_2500_01,EdgeSketch,3,10,0.3,1.0,0.732,0.226,0.1249
bin_2500_01,EdgeSketch,4,10,0.3,1.0,0.732,0.226,0.1249
bin_5000_0005,EdgeSketch,2,10,0.3,1.0,1.0,0.4462,0.7057
bin_5000_0005,EdgeSketch,3,10,0.3,1.0,1.0,0.4514,0.7139
bin_5000_0005,EdgeSketch,4,10,0.3,1.0,1.0,0.4363,0.69
bin_5000_001,EdgeSketch,2,10,0.3,1.0,1.0,0.6996,0.5548
bin_5000_001,EdgeSketch,3,10,0.3,1.0,0.997,0.7058,0.6183
bin_5000_001,EdgeSketch,4,10,0.3,1.0,0.996,0.7014,0.6161
bin_5000_005,EdgeSketch,2,10,0.3,1.0,1.0,1.0,0.1814
bin_5000_005,EdgeSketch,3,10,0.3,1.0,0.932,0.32,0.1064
bin_5000_005,EdgeSketch,4,10,0.3,1.0,0.932,0.3196,0.1062
bin_5000_01,EdgeSketch,2,10,0.3,1.0,1.0,1.0,0.1011
bin_5000_01,EdgeSketch,3,10,0.3,1.0,1.0,0.3234,0.0647
bin_5000_01,EdgeSketch,4,10,0.3,1.0,1.0,0.3234,0.0647
block_1000_2,EdgeSketch,2,10,0.3,1.0,1.0,0.4391,0.2616
block_1000_2,EdgeSketch,3,10,0.3,1.0,1.0,0.4545,0.3426
block_1000_2,EdgeSketch,4,10,0.3,1.0,1.0,0.4545,0.3426
block_1000_4,EdgeSketch,2,10,0.3,1.0,1.0,0.3352,0.1547
block_1000_4,EdgeSketch,3,10,0.3,1.0,1.0,0.5342,0.4087
block_1000_4,EdgeSketch,4,10,0.3,1.0,1.0,0.5342,0.4087
block_1000_8,EdgeSketch,2,10,0.3,1.0,1.0,0.2831,0.1289
block_1000_8,EdgeSketch,3,10,0.3,1.0,0.884,0.5825,0.4762
block_1000_8,EdgeSketch,4,10,0.3,1.0,0.884,0.5821,0.4755
block_2500_2,EdgeSketch,2,10,0.3,1.0,1.0,0.7158,0.2551
block_2500_2,EdgeSketch,3,10,0.3,1.0,1.0,0.7048,0.2722
block_2500_2,EdgeSketch,4,10,0.3,1.0,1.0,0.7048,0.2722
