dataset,algorithm,k,m,alpha,sim_top_100,sim_top_1000,sim_top_10000,sim_all
bin_1000_005,NodeSketch,2,16,0.3,0.77,0.541,0.0996,0.4065
bin_1000_005,NodeSketch,2,32,0.3,0.78,0.537,0.1032,0.4212
bin_1000_005,NodeSketch,2,64,0.3,0.81,0.653,0.1194,0.4873
bin_1000_005,NodeSketch,2,128,0.3,0.87,0.636,0.1195,0.4878
bin_1000_005,NodeSketch,2,256,0.3,0.82,0.631,0.1191,0.4861
bin_1000_01,NodeSketch,2,8,0.3,0.5,0.234,0.1041,0.2076
bin_1000_01,NodeSketch,2,16,0.3,0.47,0.34,0.1167,0.2327
bin_1000_01,NodeSketch,2,32,0.3,0.57,0.391,0.1472,0.2936
bin_1000_01,NodeSketch,2,64,0.3,0.73,0.487,0.161,0.3211
bin_1000_01,NodeSketch,2,128,0.3,0.75,0.525,0.1672,0.3335
bin_1000_01,NodeSketch,2,256,0.3,0.68,0.464,0.1692,0.3375
bin_2500_0005,NodeSketch,2,8,0.3,0.99,0.831,0.1093,0.7282
bin_2500_0005,NodeSketch,2,16,0.3,1.0,0.866,0.114,0.7595
bin_2500_0005,NodeSketch,2,32,0.3,1.0,0.866,0.1161,0.7735
bin_2500_0005,NodeSketch,2,64,0.3,1.0,0.884,0.1169,0.7788
bin_2500_0005,NodeSketch,2,128,0.3,1.0,0.88,0.1186,0.7901
bin_2500_0005,NodeSketch,2,256,0.3,1.0,0.873,0.1162,0.7742
bin_2500_001,NodeSketch,2,8,0.3,0.93,0.719,0.1648,0.532
bin_2500_001,NodeSketch,2,16,0.3,0.98,0.81,0.1777,0.5736
bin_2500_001,NodeSketch,2,32,0.3,0.96,0.807,0.1888,0.6094
bin_2500_001,NodeSketch,2,64,0.3,0.97,0.817,0.1916,0.6185
bin_2500_001,NodeSketch,2,128,0.3,0.97,0.822,0.1955,0.6311
bin_2500_001,NodeSketch,2,256,0.3,0.98,0.833,0.198,0.6391
bin_2500_005,NodeSketch,2,8,0.3,0.53,0.269,0.1664,0.1636
bin_2500_005,NodeSketch,2,16,0.3,0.57,0.428,0.2493,0.2186
bin_2500_005,NodeSketch,2,32,0.3,0.54,0.465,0.2798,0.2482
bin_2500_005,NodeSketch,2,64,0.3,0.53,0.417,0.2827,0.2551
bin_2500_005,NodeSketch,2,128,0.3,0.58,0.54,0.329,0.2902
bin_2500_005,NodeSketch,2,256,0.3,0.67,0.544,0.3442,0.2981
bin_2500_01,NodeSketch,2,8,0.3,0.24,0.212,0.1415,0.0923
bin_2500_01,NodeSketch,2,16,0.3,0.22,0.165,0.1352,0.1121
bin_2500_01,NodeSketch,2,32,0.3,0.47,0.31,0.1964,0.1459
bin_2500_01,NodeSketch,2,64,0.3,0.44,0.341,0.2241,0.1705
bin_2500_01,NodeSketch,2,128,0.3,0.5,0.358,0.2456,0.1855
bin_2500_01,NodeSketch,2,256,0.3,0.59,0.352,0.2433,0.1933
bin_5000_0005,NodeSketch,2,8,0.3,0.97,0.845,0.3374,0.5336
bin_5000_0005,NodeSketch,2,16,0.3,0.98,0.854,0.3727,0.5894
bin_5000_0005,NodeSketch,2,32,0.3,0.98,0.825,0.3692,0.5839
bin_5000_0005,NodeSketch,2,64,0.3,1.0,0.86,0.3911,0.6185
bin_5000_0005,NodeSketch,2,128,0.3,0.99,0.849,0.3962,0.6266
bin_5000_0005,NodeSketch,2,256,0.3,1.0,0.854,0.3998,0.6323
bin_5000_001,NodeSketch,2,8,0.3,0.69,0.554,0.3919,0.3778
bin_5000_001,NodeSketch,2,16,0.3,0.9,0.719,0.4438,0.4115
bin_5000_001,NodeSketch,2,32,0.3,0.94,0.752,0.4843,0.446
bin_5000_001,NodeSketch,2,64,0.3,0.93,0.772,0.5061,0.4676
bin_5000_001,NodeSketch,2,128,0.3,0.91,0.778,0.5135,0.4774
bin_5000_001,NodeSketch,2,256,0.3,0.94,0.79,0.5241,0.488
bin_5000_005,NodeSketch,2,8,0.3,0.43,0.279,0.126,0.0893
bin_5000_005,NodeSketch,2,16,0.3,0.38,0.266,0.1527,0.1007
bin_5000_005,NodeSketch,2,32,0.3,0.46,0.317,0.2276,0.1457
bin_5000_005,NodeSketch,2,64,0.3,0.62,0.402,0.2748,0.1747
bin_5000_005,NodeSketch,2,128,0.3,0.49,0.406,0.2878,0.1841
bin_5000_005,NodeSketch,2,256,0.3,0.53,0.428,0.3061,0.2016
bin_5000_01,NodeSketch,2,8,0.3,0.13,0.105,0.1001,0.0538
bin_5000_01,NodeSketch,2,16,0.3,0.21,0.155,0.1103,0.0712
bin_5000_01,NodeSketch,2,32,0.3,0.23,0.18,0.1295,0.079
bin_5000_01,NodeSketch,2,64,0.3,0.26,0.209,0.1634,0.1025
bin_5000_01,NodeSketch,2,128,0.3,0.39,0.262,0.187,0.1142
bin_5000_01,NodeSketch,2,256,0.3,0.31,0.26,0.1937,0.122
block_1000_2,NodeSketch,2,8,0.3,0.44,0.513,0.5221,0.5066
block_1000_2,NodeSketch,2,16,0.3,0.63,0.524,0.5248,0.5091
block_1000_2,NodeSketch,2,32,0.3,0.5,0.52,0.5273,0.5113
block_1000_2,NodeSketch,2,64,0.3,0.58,0.55,0.5259,0.5171
block_1000_2,NodeSketch,2,128,0.3,0.52,0.549,0.5513,0.5212
block_1000_2,NodeSketch,2,256,0.3,0.6,0.603,0.5753,0.5272
block_1000_4,NodeSketch,2,8,0.3,0.48,0.518,0.5326,0.5148
block_1000_4,NodeSketch,2,16,0.3,0.48,0.521,0.531,0.5177
block_1000_4,NodeSketch,2,32,0.3,0.62,0.594,0.5589,0.5233
block_1000_4,NodeSketch,2,64,0.3,0.73,0.631,0.571,0.5289
block_1000_4,NodeSketch,2,128,0.3,0.74,0.63,0.59,0.5365
block_1000_4,NodeSketch,2,256,0.3,0.67,0.666,0.599,0.5417
block_1000_8,NodeSketch,2,8,0.3,0.55,0.566,0.543,0.5248
block_1000_8,NodeSketch,2,16,0.3,0.58,0.603,0.5653,0.5336
block_1000_8,NodeSketch,2,32,0.3,0.63,0.611,0.582,0.5431
block_1000_8,NodeSketch,2,64,0.3,0.73,0.65,0.5881,0.5513
block_1000_8,NodeSketch,2,128,0.3,0.72,0.666,0.6009,0.5536
block_1000_8,NodeSketch,2,256,0.3,0.84,0.687,0.61,0.5603
block_2500_2,NodeSketch,2,8,0.3,0.53,0.498,0.4958,0.5031
block_2500_2,NodeSketch,2,16,0.3,0.49,0.518,0.5106,0.5037
block_2500_2,NodeSketch,2,32,0.3,0.54,0.548,0.5242,0.5053
